plottype,plot_id,subplot_id,period,year,species,approx_nr_established_ha,approx_nr_seedlings_ha,approx_rubbing_damage_perc_established,approx_rubbing_damage_perc_seedlings,mean_number_established_ha,lci_number_established_ha,uci_number_established_ha,mean_number_seedlings_ha,lci_number_seedlings_ha,uci_number_seedlings_ha,mean_rubbing_damage_perc_established,lci_rubbing_damage_perc_established,uci_rubbing_damage_perc_established,mean_rubbing_damage_perc_seedlings,lci_rubbing_damage_perc_seedlings,uci_rubbing_damage_perc_seedlings
CA,21000,1,1,2009,7,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,1,1,2009,16,0,8000,,,0,0,0,7810.249675913055,6100.000000009996,10000.000000000004,,,,,,
CA,21000,1,1,2009,27,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,1,1,2009,87,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,2,1,2009,7,0,1800,,,0,0,0,1799.467463450618,1368.851795092969,2365.5469230673566,,,,,,
CA,21000,2,1,2009,16,0,13100,,,0,0,0,34678.77251340192,19120.514028502963,62896.70148216404,,,,,,
CA,21000,2,1,2009,27,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,2,1,2009,87,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CA,21000,3,1,2009,7,0,900,,,0,0,0,874.596669252938,769.7427935731275,993.733673449018,,,,,,
CA,21000,3,1,2009,16,0,10900,,,0,0,0,32555.093833405073,18096.530777631135,58565.597324977614,,,,,,
CA,21000,3,1,2009,27,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,3,1,2009,87,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
CP,2006,1,2,2011,7,9372.457759856059,8665.102457225414,,,9372.457759864901,9372.45775985606,9372.457759873741,8665.102457243098,8665.102457229603,8665.102457256593,,,,,,
CA,11000,155511,2,2011,7,200,500,,,200.000000005,200,200.00000001,500.0000000099999,500.0000000024884,500.00000001751147,,,,,,
CA,11000,155521,2,2011,7,0,2000,,,0,0,0,2000.0000000100006,1999.9999999971158,2000.0000000228854,,,,,,
CA,11000,155521,2,2011,87,0,200,,,0,0,0,200.000000005,200,200.00000001,,,,,,
CA,11000,155531,2,2011,7,0,400,,,0,0,0,400.000000005,400,400.00000001,,,,,,
CA,11000,155531,2,2011,87,0,300,,,0,0,0,300.00000000500006,300.00000000000006,300.00000001000006,,,,,,
CP,204,1,2,2012,2,0,7.957747154594767,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,4,0,7.957747154594767,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,6,31.830988618379067,119.3662073189215,,,31.83098861917484,31.830988618336022,31.83098862001366,118.03246481772756,87.53521870133822,159.1549430918953,,,,,,
CP,204,1,2,2012,26,0,7.957747154594767,,,0,0,0,7.957747154992654,7.957747154594767,7.957747155390541,,,,,,
CP,204,1,2,2012,39,71.6197243913529,119.3662073189215,,,71.6197243917508,71.61972439135292,71.61972439214868,118.03246481772756,87.53521870133822,159.1549430918953,,,,,,
CP,204,1,2,2012,63,63.66197723675813,63.66197723675813,,,63.661977237553906,63.66197723594618,63.66197723916163,61.64044440666364,47.74648292836436,79.57747154594767,,,,,,
CP,204,1,2,2012,87,7.957747154594767,23.8732414637843,,,7.957747154992654,7.957747154594767,7.957747155390541,25.164606052872628,15.915494309985304,39.78873577297382,,,,,,
CP,101,1,2,2013,7,628.7602690050187,0,,,654.2687053405489,520.320750112157,822.6993420802964,0,0,0,,,,,,
CP,101,1,2,2013,16,15719.006725125468,40869.417485326216,,,15592.74759836572,12889.585514634322,18862.808070150557,40146.62103448297,34348.219676355075,46923.86375984144,,,,,,
CP,101,1,2,2013,28,471.570201753764,0,,,497.0786380814347,314.38013451822826,785.9503362562732,0,0,0,,,,,,
CP,101,1,2,2013,31,157.19006725125467,0,,,157.1900672591142,157.19006725125467,157.19006726697367,0,0,0,,,,,,
CP,101,1,2,2013,64,0,628.7602690050187,,,0,0,0,628.7602690364567,628.7602690050187,628.7602690678947,,,,,,
CP,1005,1,2,2016,,0,0,,,0,0,0,0,0,0,,,,,,
CA,141100,1,2,2017,14,400,0,,,400.00000001,400.0000000029289,400.00000001707105,0,0,0,,,,,,
CA,141100,1,2,2017,28,200,0,,,200.000000005,200,200.00000001,0,0,0,,,,,,
CA,141100,1,2,2017,39,100,0,,,100.000000005,100,100.00000001,0,0,0,,,,,,
CA,141100,1,2,2017,87,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,141100,1,2,2017,89,0,3100,,,0,0,0,2998.2753492497873,2552.180229106062,3522.3433546727574,,,,,,
CA,141100,2,2,2017,14,200,0,,,200.000000005,200,200.00000001,0,0,0,,,,,,
CA,141100,2,2,2017,39,300,600,,,300.00000000500006,300.00000000000006,300.00000001000006,632.455532049487,457.4429685621371,874.4259448938617,,,,,,
CA,141100,2,2,2017,71,3000,0,,,3000.0000000099985,3000.0000000016134,3000.000000018384,0,0,0,,,,,,
CA,141100,2,2,2017,87,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,141100,2,2,2017,89,0,10100,,,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,,,
CA,141100,3,2,2017,14,100,0,,,100.000000005,100,100.00000001,0,0,0,,,,,,
CA,141100,3,2,2017,20,3000,6000,,,3000.000000005,3000.0000000000005,3000.00000001,5796.550698489576,4615.630256524161,7279.612562697507,,,,,,
CA,141100,3,2,2017,39,100,200,,,100.000000005,100,100.00000001,200.00000001,200.00000000292889,200.00000001707105,,,,,,
CA,141100,3,2,2017,71,6000,3000,,,6000.000000010001,6000.0000000029295,6000.000000017073,2898.275349244788,2100.0000000100003,3999.9999999999977,,,,,,
CA,141100,3,2,2017,87,200,100,,,200.000000005,200,200.00000001,100.000000005,100,100.00000001,,,,,,
CA,141100,3,2,2017,89,0,10100,,,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,,,
CA,21000,17,2,2019,7,0,5000,,,0,0,0,4959.838707060945,4100.00000001,5999.999999999998,,,,,,
CA,21000,17,2,2019,16,0,10100,,,0,0,0,31780.497164157146,10100.000000010004,99999.99999999997,,,,,,
CA,21000,17,2,2019,27,0,3000,,,0,0,0,2898.275349244788,2100.0000000100003,3999.9999999999977,,,,,,
CA,21000,17,2,2019,39,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,17,2,2019,65,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,17,2,2019,87,0,100100,,,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,,,
CA,21000,18,2,2019,7,0,5300,,,0,0,0,5276.06647308569,4116.965142262744,6761.504279611,,,,,,
CA,21000,18,2,2019,16,0,100100,,,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,,,
CA,21000,18,2,2019,87,0,100100,,,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,,,
CA,21000,19,2,2019,7,0,5300,,,0,0,0,5276.06647308569,4116.965142262744,6761.504279611,,,,,,
CA,21000,19,2,2019,9,0,100,,,0,0,0,100.000000005,100,100.00000001,,,,,,
CA,21000,19,2,2019,16,100,101600,,,100.000000005,100,100.00000001,317869.080088569,175414.01724195044,576012.9872459765,,,,,,
CA,21000,19,2,2019,87,0,100100,,,0,0,0,316385.84039114334,100100.00000000994,1000000.0000000009,,,,,,
CP,2006,1,3,2021,7,12378.717796036304,5835.681246702829,,,12378.717796045148,12378.71779603631,12378.717796053988,5684.489559771584,4296.060359910588,7521.640491062528,,,,,,
CA,11000,155511,3,2021,7,1000,8800,,,1000.0000000100001,1000.0000000009336,1000.0000000190666,8584.846345160995,7187.1336589618495,10254.3782079419,,,,,,
CA,11000,155521,3,2021,7,1700,4500,,,1700.0000000099994,1699.9999999885608,1700.0000000314378,4381.515046670664,3517.145344453737,5458.311279195401,,,,,,
CA,11000,155531,3,2021,7,300,13100,,,300.00000000500006,300.00000000000006,300.00000001000006,34678.77251340192,19120.514028502963,62896.70148216404,,,,,,
CA,11000,155531,3,2021,16,0,800,,,0,0,0,774.5966692479383,600.0000000099998,1000.0000000000001,,,,,,
CA,11000,155531,3,2021,87,0,300,,,0,0,0,316.2277660247436,200.00000000999995,499.9999999999999,,,,,,
